campus,program_id,program_name,place_type,filename,url
Москва,36634648610,Дизайн,Commercial,36634648610_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634648610_Commercial.xlsx
Москва,36634649665,Дизайн среды,Commercial,36634649665_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634649665_Commercial.xlsx
Москва,37003567710,Доказательное развитие образования,Budget,37003567710_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/37003567710_Budget.xlsx
Москва,37003567710,Доказательное развитие образования,Commercial,37003567710_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/37003567710_Commercial.xlsx
Москва,36634831090,Инвестиции на финансовых рынках,Commercial,36634831090_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634831090_Commercial.xlsx
Москва,36634126891,Инженерия данных,Commercial,36634126891_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634126891_Commercial.xlsx
Москва,36704696181,Иностранные языки и межкультурная коммуникация,Budget,36704696181_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36704696181_Budget.xlsx
Москва,36704696181,Иностранные языки и межкультурная коммуникация,Commercial,36704696181_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36704696181_Commercial.xlsx
Москва,36634894147,Интегрированные коммуникации,Budget,36634894147_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634894147_Budget.xlsx
Москва,36634894147,Интегрированные коммуникации,Commercial,36634894147_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634894147_Commercial.xlsx
Москва,36634668025,Интерактивные медиа и цифровые индустрии,Budget,36634668025_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634668025_Budget.xlsx
Москва,36634668025,Интерактивные медиа и цифровые индустрии,Commercial,36634668025_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634668025_Commercial.xlsx
Москва,36634652262,Интерактивный дизайн,Commercial,36634652262_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634652262_Commercial.xlsx
Москва,36634399435,Интернет вещей и киберфизические системы,Budget,36634399435_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634399435_Budget.xlsx
Москва,36634399435,Интернет вещей и киберфизические системы,Commercial,36634399435_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634399435_Commercial.xlsx
Москва,36634124878,Информационная безопасность в кредитно-финансовой сфере,Budget,36634124878_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634124878_Budget.xlsx
Москва,36634124878,Информационная безопасность в кредитно-финансовой сфере,Commercial,36634124878_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634124878_Commercial.xlsx
Москва,36634124446,Информационная безопасность и технологии искусственного интеллекта,Budget,36634124446_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634124446_Budget.xlsx
Москва,36634124446,Информационная безопасность и технологии искусственного интеллекта,Commercial,36634124446_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634124446_Commercial.xlsx
Москва,36923606680,Информационная безопасность систем искусственного интеллекта,Commercial,36923606680_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36923606680_Commercial.xlsx
Москва,36634123785,Искусственный интеллект,Commercial,36634123785_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634123785_Commercial.xlsx
Москва,36634122954,Искусственный интеллект в маркетинге и управлении продуктом,Commercial,36634122954_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634122954_Commercial.xlsx
Москва,36922870902,Искусственный интеллект и продуктовый подход в HR-менеджменте,Commercial,36922870902_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36922870902_Commercial.xlsx
Москва,36634123413,Исследования и предпринимательство в искусственном интеллекте,Commercial,36634123413_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634123413_Commercial.xlsx
Москва,36923676128,Исторические исследования,Budget,36923676128_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36923676128_Budget.xlsx
Москва,36923676128,Исторические исследования,Commercial,36923676128_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36923676128_Commercial.xlsx
Москва,36634648154,История художественной культуры и рынок искусства,Budget,36634648154_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634648154_Budget.xlsx
Москва,36634648154,История художественной культуры и рынок искусства,Commercial,36634648154_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634648154_Commercial.xlsx
Москва,36634125520,Кибербезопасность,Commercial,36634125520_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634125520_Commercial.xlsx
Москва,36634670304,Кинопроизводство,Budget,36634670304_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634670304_Budget.xlsx
Москва,36634670304,Кинопроизводство,Commercial,36634670304_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634670304_Commercial.xlsx
Москва,36634484168,Китайский язык в межкультурной бизнес-коммуникации,Commercial,36634484168_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634484168_Commercial.xlsx
Москва,36634659756,"Классический и современный Восток: языки, культуры, религии",Budget,36634659756_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634659756_Budget.xlsx
Москва,36634659756,"Классический и современный Восток: языки, культуры, религии",Commercial,36634659756_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634659756_Commercial.xlsx
Москва,36634400395,Клеточная и молекулярная биотехнология,Budget,36634400395_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634400395_Budget.xlsx
Москва,36634400395,Клеточная и молекулярная биотехнология,Commercial,36634400395_Commercial.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634400395_Commercial.xlsx
Москва,36634423461,Когнитивные науки и технологии: от нейрона к познанию,Budget,36634423461_Budget.xlsx,https://priem47.hse.ru/ABITREPORTS/MAGREPORTS/FullTime/36634423461_Budget.xlsx
