program_id,program_name,campus,n_budget,n_noisy,noise_share_budget
36634774098,Фармправо и здравоохранение,Москва,43,24,0.5581395348837209
36634801233,Финансовые рынки и финансовые институты,Москва,91,35,0.38461538461538464
36634805591,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Москва,22,14,0.6363636363636364
36634809101,Комплаенс и профилактика правовых рисков,Москва,55,33,0.6
36634819326,Социальный анализ рынков на цифровых и опросных данных,Москва,21,8,0.38095238095238093
36634821614,Социология публичной сферы и цифровая аналитика,Москва,35,14,0.4
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,97,31,0.31958762886597936
36634865048,Современная журналистика,Москва,56,23,0.4107142857142857
36634870561,Политика. Экономика. Философия,Москва,40,21,0.525
36634873573,Прикладная политология,Москва,33,17,0.5151515151515151
36634882278,Цифровые коммуникации и продуктовая аналитика,Москва,42,29,0.6904761904761905
36634890974,Коммуникации в государственных структурах и НКО,Москва,43,32,0.7441860465116279
36634894147,Интегрированные коммуникации,Москва,50,27,0.54
36635009868,Современные медиаисследования и аналитика,Москва,37,27,0.7297297297297297
36635012278,Современные технологии преподавания дизайна и искусства,Москва,20,5,0.25
36635022403,Педагогическое образование,Москва,43,18,0.4186046511627907
36635024428,Медиаменеджмент,Москва,76,37,0.4868421052631579
36635049966,Философские исследования,Москва,27,11,0.4074074074074074
36635094740,Современное востоковедение,Москва,43,15,0.3488372093023256
36635111472,Русский язык как иностранный,Москва,16,5,0.3125
36635146793,Аналитик деловой разведки,Москва,20,10,0.5
36635147849,Обучение и оценивание как наука,Москва,15,9,0.6
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,20,7,0.35
36704609724,Машинное обучение и анализ данных,НИУ ВШЭ - Санкт-Петербург,46,7,0.15217391304347827
36704609990,Физика,НИУ ВШЭ - Санкт-Петербург,8,0,0.0
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,46,23,0.5
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,48,17,0.3541666666666667
36704610744,Финансы,НИУ ВШЭ - Санкт-Петербург,38,14,0.3684210526315789
36704610945,Международный бизнес в странах Азиатско-Тихоокеанского региона,НИУ ВШЭ - Санкт-Петербург,33,14,0.42424242424242425
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,30,13,0.43333333333333335
36704611554,Стратегическое управление логистикой и цепями поставок,НИУ ВШЭ - Санкт-Петербург,24,10,0.4166666666666667
36704611878,Менеджмент в индустрии впечатлений,НИУ ВШЭ - Санкт-Петербург,38,11,0.2894736842105263
36704612152,Современный социальный анализ,НИУ ВШЭ - Санкт-Петербург,18,4,0.2222222222222222
36704612429,Право интеллектуальной собственности в цифровую эпоху,НИУ ВШЭ - Санкт-Петербург,39,12,0.3076923076923077
36704612749,Гражданское и коммерческое право,НИУ ВШЭ - Санкт-Петербург,54,13,0.24074074074074073
36704613009,Право и государственное управление,НИУ ВШЭ - Санкт-Петербург,33,11,0.3333333333333333
36704613610,Медиапроизводство и медиааналитика,НИУ ВШЭ - Санкт-Петербург,40,6,0.15
36704613901,Языковые технологии в бизнесе и образовании,НИУ ВШЭ - Санкт-Петербург,23,2,0.08695652173913043
36704614230,Русская литература в кросс-культурной и интермедиальной перспективах,НИУ ВШЭ - Санкт-Петербург,21,5,0.23809523809523808
36704614570,Глобальная и региональная история,НИУ ВШЭ - Санкт-Петербург,12,2,0.16666666666666666
36704614836,Дизайн,НИУ ВШЭ - Санкт-Петербург,34,4,0.11764705882352941
36704615026,Кросс-культурные исследования Азии и Африки в контексте международных отношений,НИУ ВШЭ - Санкт-Петербург,16,6,0.375
36704615400,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,11,5,0.45454545454545453
36704615682,Анализ данных для государства и общества,НИУ ВШЭ - Санкт-Петербург,10,4,0.4
36704621942,Экономика и бизнес-консалтинг,НИУ ВШЭ - Санкт-Петербург,50,13,0.26
36704622556,Бизнес- и ИТ-архитектура высокотехнологичных компаний,НИУ ВШЭ - Санкт-Петербург,36,12,0.3333333333333333
36704622856,Вычислительная биология и биоинформатика,НИУ ВШЭ - Санкт-Петербург,12,5,0.4166666666666667
36704696181,Иностранные языки и межкультурная коммуникация,Москва,52,16,0.3076923076923077
36923571101,Нейробиология,Москва,26,8,0.3076923076923077
36923619805,Цифровой инжиниринг в телекоммуникациях,Москва,16,13,0.8125
36923650437,Цифровые технологии в гуманитарных исследованиях,Москва,33,12,0.36363636363636365
36923667513,Археологические исследования,Москва,16,5,0.3125
36923676128,Исторические исследования,Москва,33,13,0.3939393939393939
36936823912,Филологические исследования,Москва,23,4,0.17391304347826086
36960452806,Психологическое сопровождение в сфере управления здоровьем и благополучием,НИУ ВШЭ - Санкт-Петербург,41,9,0.21951219512195122
36960454475,Социальное предпринимательство и инновации,НИУ ВШЭ - Санкт-Петербург,18,12,0.6666666666666666
36960463781,Политика и глобальное управление в Евразии,НИУ ВШЭ - Санкт-Петербург,18,9,0.5
36960475205,Политика и глобальное управление в Евразии,НИУ ВШЭ - Санкт-Петербург,9,4,0.4444444444444444
36962612385,Религиозная дипломатия в многополярном мире,Москва,15,11,0.7333333333333333
36971549759,Умные устройства: аппаратная разработка,Москва,36,16,0.4444444444444444
36985942928,Пространственные данные и прикладная геоаналитика,Москва,15,2,0.13333333333333333
37003567710,Доказательное развитие образования,Москва,20,10,0.5
