program_id,program_name,campus,n_applications_budget,n_serious_budget,n_applications_commercial,n_serious_commercial,n_unique_applicants_total,n_applications_total,budget_places,commercial_places,competition_ratio_budget,demand_pressure_budget,no_budget_places,competition_ratio_commercial,no_commercial_places,n_p1_budget,desirability,low_data
36634184189,Химия молекулярных систем и материалов,Москва,21,17,3,3,21,24,15,2,1.4,1.1333333333333333,False,1.5,False,15,0.6085366644248345,False
36634184649,Цифровая урбанистика и аналитика города,Москва,0,0,21,17,21,21,0,35,,,True,0.6,False,,,
36634184999,Управление пространственным развитием городов,Москва,50,40,15,14,51,65,40,35,1.25,1.0,False,0.42857142857142855,False,36,0.664652765505955,False
36634185339,Управление низкоуглеродным развитием,Москва,11,11,1,0,11,12,15,10,0.7333333333333333,0.7333333333333333,False,0.1,False,8,0.5644390011836597,False
36634185785,Цифровая инженерия для компьютерных игр,Москва,0,0,4,2,4,4,0,55,,,True,0.07272727272727272,False,,,
36634207252,Системный анализ и математические технологии,Москва,75,33,12,1,77,87,35,5,2.142857142857143,0.9428571428571428,False,2.4,False,17,0.2443569977106513,False
36634208277,Психоанализ и психоаналитическая психотерапия,Москва,0,0,300,292,300,300,0,400,,,True,0.75,False,,,
36634208641,Психоанализ и психоаналитическое бизнес-консультирование,Москва,0,0,305,299,305,305,0,500,,,True,0.61,False,,,
36634209205,Психология в бизнесе,Москва,0,0,36,29,36,36,0,120,,,True,0.3,False,,,
36634210173,Прикладная социальная психология,Москва,68,47,13,9,75,81,20,5,3.4,2.35,False,2.6,False,33,0.4721708893927769,False
36634210831,Позитивная психология,Москва,58,39,11,8,60,69,30,5,1.9333333333333333,1.3,False,2.2,False,16,0.2909176482871656,False
36634212235,Персонология. Консультативная психология и психотерапия,Москва,91,79,28,22,99,119,40,20,2.275,1.975,False,1.4,False,65,0.6820164520736396,False
36634216077,Системная семейная психотерапия,Москва,0,0,36,30,36,36,0,26,,,True,1.3846153846153846,False,,,
36634226310,Управление инновационным бизнесом,Москва,0,0,52,36,52,52,0,200,,,True,0.26,False,,,
36634229182,"Управление исследованиями, разработками и инновациями в компании",Москва,49,30,13,8,52,62,25,15,1.96,1.2,False,0.8666666666666667,False,23,0.45465754057061003,False
36634231345,Управление и экономика здравоохранения,Москва,37,19,23,15,44,60,25,15,1.48,0.76,False,1.5333333333333334,False,14,0.378833251134991,False
36634237558,Управление в креативных индустриях,Москва,0,0,37,16,37,37,0,120,,,True,0.30833333333333335,False,,,
36634258902,"Управление в сфере науки, технологий и инноваций",Москва,38,16,9,3,41,47,25,7,1.52,0.64,False,1.2857142857142858,False,8,0.24522017281024938,False
36634397148,Управление цифровым продуктом,Москва,0,0,77,46,77,77,0,200,,,True,0.385,False,,,
36634398922,Прикладная электроника и фотоника,Москва,16,10,1,1,16,17,25,5,0.64,0.4,False,0.2,False,8,0.45480123454910054,False
36634399435,Интернет вещей и киберфизические системы,Москва,20,6,2,1,20,22,20,5,1.0,0.3,False,0.4,False,2,0.19189202689162607,False
36634400395,Клеточная и молекулярная биотехнология,Москва,37,31,8,7,39,45,15,10,2.466666666666667,2.066666666666667,False,0.8,False,26,0.6355667041647846,False
36634423461,Когнитивные науки и технологии: от нейрона к познанию,Москва,29,12,5,2,32,34,20,15,1.45,0.6,False,0.3333333333333333,False,6,0.25056286154553636,False
36634440292,Аппаратно-программные комплексы искусственного интеллекта,Москва,29,11,4,0,29,33,20,5,1.45,0.55,False,0.8,False,5,0.22475047102724371,False
36634441416,Международная торговая политика,Москва,57,26,25,6,60,82,25,25,2.28,1.04,False,1.0,False,16,0.2952765473197609,False
36634442995,Мировая экономика,Москва,78,32,40,12,85,118,55,20,1.4181818181818182,0.5818181818181818,False,2.0,False,20,0.2701935715574938,False
36634444313,Маркетинг - менеджмент,Москва,0,0,77,44,77,77,0,200,,,True,0.385,False,,,
36634446891,Маркетинг: цифровые технологии и маркетинговые коммуникации,Москва,128,79,59,37,146,187,40,70,3.2,1.975,False,0.8428571428571429,False,61,0.469773250627471,False
36634448375,Международный бизнес,Москва,0,0,83,60,83,83,0,160,,,True,0.51875,False,,,
36634452450,Международный менеджмент,Москва,123,70,47,30,133,170,40,23,3.075,1.75,False,2.0434782608695654,False,42,0.3443325566603172,False
36634477214,"Международный спортивный менеджмент, маркетинг и право",Москва,0,0,24,20,24,24,0,,,,True,,True,,,
36634479650,Литературное мастерство,Москва,38,31,8,5,38,46,25,25,1.52,1.24,False,0.32,False,19,0.4756296856017376,False
36634481602,Компьютерная лингвистика,Москва,31,22,11,5,33,42,25,15,1.24,0.88,False,0.7333333333333333,False,15,0.4591698340678141,False
36634484168,Китайский язык в межкультурной бизнес-коммуникации,Москва,0,0,19,16,19,19,0,75,,,True,0.25333333333333335,False,,,
36634629125,Теория языка и полевая лингвистика,Москва,14,11,7,6,15,21,16,20,0.875,0.6875,False,0.35,False,6,0.40887251824108606,False
36634647712,Культурные исследования,Москва,37,21,8,4,38,45,30,30,1.2333333333333334,0.7,False,0.26666666666666666,False,11,0.3146498878775426,False
36634648154,История художественной культуры и рынок искусства,Москва,35,23,9,7,35,44,14,25,2.5,1.6428571428571428,False,0.36,False,17,0.46282018510126194,False
36634648610,Дизайн,Москва,84,68,24,18,88,108,30,200,2.8,2.2666666666666666,False,0.12,False,63,0.7116098281461799,False
36634649665,Дизайн среды,Москва,0,0,5,3,5,5,0,40,,,True,0.125,False,,,
36634652262,Интерактивный дизайн,Москва,0,0,9,6,9,9,0,120,,,True,0.075,False,,,
36634656654,Коммуникационный и цифровой дизайн,Москва,0,0,20,15,20,20,0,120,,,True,0.16666666666666666,False,,,
36634659756,"Классический и современный Восток: языки, культуры, религии",Москва,27,17,7,5,30,34,15,15,1.8,1.1333333333333333,False,0.4666666666666667,False,13,0.45472465596997125,False
36634668025,Интерактивные медиа и цифровые индустрии,Москва,71,33,23,13,73,94,20,10,3.55,1.65,False,2.3,False,18,0.2688479740852048,False
36634670304,Кинопроизводство,Москва,72,46,18,12,75,90,25,25,2.88,1.84,False,0.72,False,40,0.5347014574548826,False
36634680809,Комплексный социальный анализ,Москва,24,11,5,2,24,29,20,5,1.2,0.55,False,1.0,False,10,0.4062429293007357,False
36634704114,Демография,Москва,20,9,3,1,20,23,16,5,1.25,0.5625,False,0.6,False,6,0.3263861140708363,False
36634708593,Государственное и муниципальное управление,Москва,92,57,37,25,94,129,48,10,1.9166666666666667,1.1875,False,3.7,False,48,0.5082221923221123,False
36634718779,Финансовая экономика,Москва,68,33,26,12,72,94,25,15,2.72,1.32,False,1.7333333333333334,False,16,0.25349629631098447,False
36634723090,Экономика и экономическая политика,Москва,78,34,29,10,80,107,65,10,1.2,0.5230769230769231,False,2.9,False,17,0.23600206343981625,False
36634724644,Экономический анализ,Москва,0,0,61,47,61,61,0,165,,,True,0.3696969696969697,False,,,
36634729389,Статистический анализ в экономике,Москва,53,15,12,2,53,65,20,2,2.65,0.75,False,6.0,False,6,0.15471643598172644,False
36634731597,Стохастическое моделирование в экономике и финансах,Москва,50,20,11,3,50,61,20,2,2.5,1.0,False,5.5,False,9,0.21270248263482472,False
36634735457,Управление B2C-бизнесом: технологии и инновации,Москва,0,0,29,14,29,29,0,63,,,True,0.4603174603174603,False,,,
36634741150,Стратегический менеджмент: инвестиции и консалтинг,Москва,95,56,45,22,104,140,30,55,3.1666666666666665,1.8666666666666667,False,0.8181818181818182,False,31,0.33136068014108144,False
36634743633,Операционная эффективность и производственные системы,Москва,46,25,15,10,49,61,30,52,1.5333333333333334,0.8333333333333334,False,0.28846153846153844,False,16,0.3535467093493545,False
36634744291,Население и развитие,Москва,16,7,9,4,18,25,5,5,3.2,1.4,False,1.8,False,0,0.1440140170686849,False
36634764938,Стратегическое управление финансами фирмы,Москва,78,45,33,22,79,111,40,10,1.95,1.125,False,3.3,False,26,0.3385765877928488,False
36634765632,Сравнительные социальные исследования,Москва,19,6,5,2,19,24,15,5,1.2666666666666666,0.4,False,1.0,False,3,0.23336200101358773,False
36634766231,Современное частное право,Москва,85,60,48,35,92,133,25,20,3.4,2.4,False,2.4,False,34,0.39800132332616533,False
36634766800,Публичное право,Москва,59,24,20,14,64,79,22,10,2.6818181818181817,1.0909090909090908,False,2.0,False,19,0.33032759322477356,False
36634767368,Право международной торговли и разрешение споров,Москва,71,33,35,18,75,106,20,10,3.55,1.65,False,3.5,False,25,0.355544852765891,False
36634768707,Международные отношения: европейские и азиатские исследования,Москва,89,55,35,26,94,124,35,12,2.5428571428571427,1.5714285714285714,False,2.9166666666666665,False,44,0.4831532614133577,False
36634770048,Юрист в бизнесе,Москва,94,61,60,41,101,154,15,85,6.266666666666667,4.066666666666666,False,0.7058823529411765,False,31,0.3345547925027593,False
36634770503,Юрист в правосудии,Москва,56,29,17,10,59,73,32,15,1.75,0.90625,False,1.1333333333333333,False,21,0.37582399484833523,False
36634770807,Юрист мирового финансового рынка,Москва,0,0,33,20,33,33,0,30,,,True,1.1,False,,,
36634771142,Цифровое право,Москва,75,48,34,26,77,109,20,25,3.75,2.4,False,1.36,False,28,0.374164163574157,False
36634772526,Сравнительное правоведение и фундаментальный правовой анализ,Москва,41,11,9,0,41,50,20,5,2.05,0.55,False,1.8,False,8,0.23072185203282236,False
36634774098,Фармправо и здравоохранение,Москва,43,19,10,3,44,53,20,10,2.15,0.95,False,1.0,False,13,0.3167753783557908,False
36634777602,"Программа двух дипломов НИУ ВШЭ и Университета Кёнхи ""Экономика, политика и бизнес в Азии""",Москва,0,0,17,13,17,17,0,30,,,True,0.5666666666666667,False,,,
36634795496,Финансы,Москва,0,0,55,30,55,55,0,150,,,True,0.36666666666666664,False,,,
36634796161,Финансовый аналитик,Москва,0,0,36,22,36,36,0,70,,,True,0.5142857142857142,False,,,
36634798363,Финансовый инжиниринг,Москва,0,0,21,14,21,21,0,65,,,True,0.3230769230769231,False,,,
36634801233,Финансовые рынки и финансовые институты,Москва,91,56,35,19,93,126,45,5,2.022222222222222,1.2444444444444445,False,7.0,False,37,0.404076223786112,False
36634805591,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Москва,22,8,0,0,22,22,20,0,1.1,0.4,False,,True,5,0.2743156741773196,False
36634809101,Комплаенс и профилактика правовых рисков,Москва,55,22,25,12,60,80,21,10,2.619047619047619,1.0476190476190477,False,2.5,False,12,0.24261374538782923,False
36634813694,Международный корпоративный комплаенс и этика бизнеса,Москва,0,0,18,8,18,18,0,25,,,True,0.72,False,,,
36634819326,Социальный анализ рынков на цифровых и опросных данных,Москва,21,13,3,2,21,24,30,5,0.7,0.43333333333333335,False,0.6,False,12,0.5109473940014464,False
36634821614,Социология публичной сферы и цифровая аналитика,Москва,35,21,5,2,35,40,30,5,1.1666666666666667,0.7,False,1.0,False,9,0.2840136115737071,False
36634826816,Магистр аналитики бизнеса,Москва,0,0,37,22,37,37,0,145,,,True,0.25517241379310346,False,,,
36634829009,Корпоративные финансы,Москва,0,0,54,37,54,54,0,140,,,True,0.38571428571428573,False,,,
36634831090,Инвестиции на финансовых рынках,Москва,0,0,60,39,60,60,0,150,,,True,0.4,False,,,
36634835017,Бизнес-информатика: цифровое предприятие и управление информационными системами,Москва,97,65,19,11,100,116,40,30,2.425,1.625,False,0.6333333333333333,False,50,0.5031528137919944,False
36634856404,Управление продуктом в ИТ-бизнесе,Москва,0,0,74,52,74,74,0,45,,,True,1.6444444444444444,False,,,
36634865048,Современная журналистика,Москва,56,33,19,13,56,75,20,10,2.8,1.65,False,1.9,False,22,0.391035182934318,False
36634870561,Политика. Экономика. Философия,Москва,40,19,13,6,43,53,20,5,2.0,0.95,False,2.6,False,5,0.17504799247418792,False
36634873573,Прикладная политология,Москва,33,16,11,7,36,44,25,5,1.32,0.64,False,2.2,False,13,0.3908903388669401,False
36634877567,Управление стратегическими коммуникациями,Москва,0,0,32,20,32,32,0,250,,,True,0.128,False,,,
36634882278,Цифровые коммуникации и продуктовая аналитика,Москва,42,13,15,5,45,57,5,40,8.4,2.6,False,0.375,False,3,0.1296276845784764,False
36634890974,Коммуникации в государственных структурах и НКО,Москва,43,11,7,2,44,50,15,40,2.8666666666666667,0.7333333333333333,False,0.175,False,8,0.22197262533050025,False
36634894147,Интегрированные коммуникации,Москва,50,23,24,14,57,74,15,55,3.3333333333333335,1.5333333333333334,False,0.43636363636363634,False,9,0.21270248263482472,False
36635009868,Современные медиаисследования и аналитика,Москва,37,10,8,3,38,45,10,5,3.7,1.0,False,1.6,False,5,0.1862831613626458,False
36635012278,Современные технологии преподавания дизайна и искусства,Москва,20,15,5,3,23,25,25,25,0.8,0.6,False,0.2,False,8,0.3936331576604414,False
36635016240,Продюсер в музыкальной индустрии,Москва,0,0,9,7,9,9,0,50,,,True,0.18,False,,,
36635019313,Продюсер театра и исполнительских искусств,Москва,0,0,6,5,6,6,0,25,,,True,0.24,False,,,
36635022403,Педагогическое образование,Москва,43,25,10,4,43,53,35,10,1.2285714285714286,0.7142857142857143,False,1.0,False,20,0.44949923259119756,False
36635024428,Медиаменеджмент,Москва,76,38,25,14,82,101,20,10,3.8,1.9,False,2.5,False,20,0.27649611772666555,False
36635027515,Педагогический дизайн: теория и практика обучения,Москва,0,0,17,12,17,17,0,70,,,True,0.24285714285714285,False,,,
36635049966,Философские исследования,Москва,27,16,9,5,27,36,25,20,1.08,0.64,False,0.45,False,12,0.4275071686272443,False
36635053719,Практики кураторства в современном искусстве,Москва,0,0,9,7,9,9,0,40,,,True,0.225,False,,,
36635059832,Практики современного искусства,Москва,0,0,13,10,13,13,0,50,,,True,0.26,False,,,
36635094740,Современное востоковедение,Москва,43,28,13,10,45,56,25,20,1.72,1.12,False,0.65,False,13,0.3167753783557908,False
36635111472,Русский язык как иностранный,Москва,16,11,2,2,16,18,21,19,0.7619047619047619,0.5238095238095238,False,0.10526315789473684,False,8,0.45480123454910054,False
36635146793,Аналитик деловой разведки,Москва,20,10,13,10,24,33,10,25,2.0,1.0,False,0.52,False,10,0.46088020125004653,False
36635147849,Обучение и оценивание как наука,Москва,15,6,3,0,17,18,30,10,0.5,0.2,False,0.3,False,4,0.3115092629399531,False
36704609407,UX-аналитика и проектирование информационных систем,НИУ ВШЭ - Санкт-Петербург,20,13,6,4,20,26,15,20,1.3333333333333333,0.8666666666666667,False,0.3,False,8,0.3936331576604414,False
36704609724,Машинное обучение и анализ данных,НИУ ВШЭ - Санкт-Петербург,46,39,17,14,46,63,30,20,1.5333333333333334,1.3,False,0.85,False,30,0.6047079514949742,False
36704609990,Физика,НИУ ВШЭ - Санкт-Петербург,8,8,1,0,9,9,10,5,0.8,0.8,False,0.2,False,5,0.49078606284312926,True
36704610189,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,46,23,13,9,46,59,20,10,2.3,1.15,False,1.3,False,13,0.2997264431752931,False
36704610468,Аналитика данных для бизнеса и экономики,НИУ ВШЭ - Санкт-Петербург,48,31,9,6,49,57,20,10,2.4,1.55,False,0.9,False,18,0.37593815894576366,False
36704610744,Финансы,НИУ ВШЭ - Санкт-Петербург,38,24,15,11,40,53,25,10,1.52,0.96,False,1.5,False,15,0.3918444082230146,False
36704610945,Международный бизнес в странах Азиатско-Тихоокеанского региона,НИУ ВШЭ - Санкт-Петербург,33,19,11,6,33,44,30,10,1.1,0.6333333333333333,False,1.1,False,12,0.36749364658111916,False
36704611278,Городское развитие и управление,НИУ ВШЭ - Санкт-Петербург,30,17,6,3,31,36,20,10,1.5,0.85,False,0.6,False,9,0.3197466087679951,False
